################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4021451031277959E-01 a       464     0    24     1     4
 -1.2640651998969756E+00 a       465     0    24     1     5
  1.0496974324330508E+00 a       466     0    24     1     6
 -2.8856939316919927E-01 a       467     0    24     1     7
 -5.0564388665449189E-01 a       468     0    24     1     8
 -1.3218374538121272E-01 a       469     0    24     1     9
  1.3889330589218751E-01 a       470     0    24     1    10
  1.4712085039469394E-01 a       471     0    24     1    11
 -4.6429538815277543E-01 a       472     0    24     1    12
 -1.3083405489781605E+00 a       473     0    24     1    13
 -2.6406897668515195E-01 a       474     0    24     1    14
  2.7129618271313721E-01 a       475     0    24     1    15
  4.2874562526370918E-01 a       476     0    24     1    16
 -4.2244489834716431E-01 a       477     0    24     1    17
 -1.2804991193832116E+00 a       478     0    24     1    18
  6.3769570269214104E-01 a       479     0    24     1    19
  6.4960348940403612E-01 a       480     0    24     1    20
  1.5069000763371180E-02 a       481     0    25     1     1
  9.2791778478668674E-01 a       482     0    25     1     2
 -4.1130949575380926E-01 a       483     0    25     1     3
 -7.6907692271517358E-01 a       484     0    25     1     4
 -9.9110132259538397E-01 a       485     0    25     1     5
  1.5044533890253768E+00 a       486     0    25     1     6
 -6.7385504378843297E-01 a       487     0    25     1     7
  1.7775271456096384E-01 a       488     0    25     1     8
 -3.9452608393656596E-01 a       489     0    25     1     9
 -7.6077904604671664E-01 a       490     0    25     1    10
  6.0196312129541540E-01 a       491     0    25     1    11
  4.8165176256274062E-01 a       492     0    25     1    12
 -5.1853120717278600E-01 a       493     0    25     1    13
  7.6295088581272041E-01 a       494     0    25     1    14
